+-------------+------+--------+---------+-----------+
|  series id  | year | period |  value  | footnotes |
+-------------+------+--------+---------+-----------+
| SUUR0000SA0 | 2022 |  M09   | 165.980 |  Initial  |
| SUUR0000SA0 | 2022 |  M08   | 165.509 |  Initial  |
| SUUR0000SA0 | 2022 |  M07   | 165.310 |  Initial  |
| SUUR0000SA0 | 2022 |  M06   | 165.118 |  Interim  |
| SUUR0000SA0 | 2022 |  M05   | 163.151 |  Interim  |
| SUUR0000SA0 | 2022 |  M04   | 161.573 |  Interim  |
| SUUR0000SA0 | 2022 |  M03   | 160.688 |  Interim  |
| SUUR0000SA0 | 2022 |  M02   | 158.807 |  Interim  |
| SUUR0000SA0 | 2022 |  M01   | 157.414 |  Interim  |
| SUUR0000SA0 | 2021 |  M12   | 156.116 |  Interim  |
| SUUR0000SA0 | 2021 |  M11   | 155.687 |  Interim  |
| SUUR0000SA0 | 2021 |  M10   | 154.973 |  Interim  |
| SUUR0000SA0 | 2021 |  M09   | 153.734 |           |
| SUUR0000SA0 | 2021 |  M08   | 153.301 |           |
| SUUR0000SA0 | 2021 |  M07   | 153.076 |           |
| SUUR0000SA0 | 2021 |  M06   | 152.295 |           |
| SUUR0000SA0 | 2021 |  M05   | 151.022 |           |
| SUUR0000SA0 | 2021 |  M04   | 149.903 |           |
| SUUR0000SA0 | 2021 |  M03   | 148.746 |           |
| SUUR0000SA0 | 2021 |  M02   | 147.845 |           |
| SUUR0000SA0 | 2021 |  M01   | 147.125 |           |
| SUUR0000SA0 | 2020 |  M12   | 146.408 |           |
| SUUR0000SA0 | 2020 |  M11   | 146.242 |           |
| SUUR0000SA0 | 2020 |  M10   | 146.382 |           |
| SUUR0000SA0 | 2020 |  M09   | 146.417 |           |
| SUUR0000SA0 | 2020 |  M08   | 146.270 |           |
| SUUR0000SA0 | 2020 |  M07   | 145.747 |           |
| SUUR0000SA0 | 2020 |  M06   | 144.847 |           |
| SUUR0000SA0 | 2020 |  M05   | 144.018 |           |
| SUUR0000SA0 | 2020 |  M04   | 144.142 |           |
| SUUR0000SA0 | 2020 |  M03   | 144.913 |           |
| SUUR0000SA0 | 2020 |  M02   | 145.193 |           |
| SUUR0000SA0 | 2020 |  M01   | 144.813 |           |
| SUUR0000SA0 | 2019 |  M12   | 144.251 |           |
| SUUR0000SA0 | 2019 |  M11   | 144.518 |           |
| SUUR0000SA0 | 2019 |  M10   | 144.629 |           |
| SUUR0000SA0 | 2019 |  M09   | 144.428 |           |
| SUUR0000SA0 | 2019 |  M08   | 144.388 |           |
| SUUR0000SA0 | 2019 |  M07   | 144.409 |           |
| SUUR0000SA0 | 2019 |  M06   | 144.243 |           |
| SUUR0000SA0 | 2019 |  M05   | 144.183 |           |
| SUUR0000SA0 | 2019 |  M04   | 143.926 |           |
| SUUR0000SA0 | 2019 |  M03   | 143.297 |           |
| SUUR0000SA0 | 2019 |  M02   | 142.571 |           |
| SUUR0000SA0 | 2019 |  M01   | 142.001 |           |
+-------------+------+--------+---------+-----------+
